id,title,parent,parentLabel,cluster,clusterLabel,clusterDefault,kwEvidence,source,track,hidden
mira_net,MIRA-Net: Unified Multi-Task Network for CT/MRI/PET Super-Resolution,2,Image Super-Resolution,38,Superresolution & Simultaneous & Brain,med,CT+MED,kw:CT,ct,
sr4zct,SR4ZCT: Self-Supervised Super-Resolution for Through-Plane CT Enhancement,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT+AIFND,kw:CT,both,
hbm_sr,AI-Powered Super-Resolution for 3D X-Ray Inspection of 3D-Stacked HBMs,1,Deep Learning & Generative Models,36,Concepts & Architectures & Challenges,ai,-,cluster,ai,HIDE
biomedical_sr_eval,Evaluating Super-Resolution Models in Biomedical Imaging: Segmentation and Classification,2,Image Super-Resolution,48,Superresolution & Generative & Adversarial,ai,-,cluster,ai,HIDE
gan_vs_diffusion_brain,GAN-Based Cross-Modality Brain MRI Synthesis: Comparison with Diffusion and Transformer Mo,1,Deep Learning & Generative Models,14,Adversarial & Generative & Compressed,split,MED+AIFND,kw:MED,med,
vae_gan_diffusion_synth,"Synthetic Scientific Image Generation with VAE, GAN, and Diffusion Model Architectures",1,Deep Learning & Generative Models,31,Adversarial & Diffusion & Unpaired,ai,AIFND,cluster,ai,HIDE
hat_medical,Hybrid Attention Transformer (HAT) for Medical Super-Resolution,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,AIFND,cluster,ai,HIDE
diffusion_recon_review,Diffusion Models for Medical Image Reconstruction,8,Iterative & Sparse-View CT Reconstruction,70,Iterative & Lowdose & Priors,ct,-,cluster,both,
ebb_brain,The Extremely Brilliant Brain (EBB): Isotropic Microscale Human Brain Dataset,1,Deep Learning & Generative Models,36,Concepts & Architectures & Challenges,ai,-,cluster,ai,HIDE
dl_recon_review,Deep Learning Image Reconstruction for CT: Technical Principles and Clinical Prospects,4,Clinical CT Denoising & DL Reconstruction,50,Characteristics & Practice & Competitive,ct,CT,kw:CT,both,
microct_dl_review,Micro-CT and Deep Learning: Modern Techniques and Applications,1,Deep Learning & Generative Models,36,Concepts & Architectures & Challenges,ai,CT,kw:CT,both,
ct_evolution,Perspectives on the Evolution and Future of X-ray Computed Tomography,8,Iterative & Sparse-View CT Reconstruction,67,Compressed & Sensing & Prior,ct,CT,kw:CT,ct,
dl_metal_artifacts,Deep Learning Methods to Guide CT Image Reconstruction and Reduce Metal Artifacts,6,Metal Artifacts & Specialized Tomography,1,Metal & Artifact & Reduction,ct,CT,kw:CT,both,
ref_realtime_single_image_and_video_superres,Real-Time Single Image and Video Super-Resolution Using an Efficient Sub-Pixel Convolution,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,GENCV,kw:GENCV,ai,HIDE
ref_swinir_image_restoration_using_swin_tran,SwinIR: Image Restoration Using Swin Transformer,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,AIFND,cluster,ai,HIDE
ref_restormer_efficient_transformer_for_high,Restormer: Efficient Transformer for High-Resolution Image Restoration,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,AIFND,cluster,ai,HIDE
ref_algebraic_reconstruction_techniques_art_,Algebraic Reconstruction Techniques (ART) for three-dimensional electron microscopy and X-,7,CT Reconstruction Foundations,60,Algorithm & Algebraic & Practical,ct,-,cluster,ct,
ref_deep_convolutional_neural_network_for_in,Deep Convolutional Neural Network for Inverse Problems in Imaging,7,CT Reconstruction Foundations,54,Inverse & Problems & Ultrasound,med,-,cluster,med,
ref_crossvit_crossattention_multiscale_visio,CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,AIFND,cluster,ai,HIDE
ref_image_reconstruction_by_domaintransform_,Image reconstruction by domain-transform manifold learning,7,CT Reconstruction Foundations,23,Potential & Machine & Domaintransform,ct,-,cluster,ct,
ref_simultaneous_algebraic_reconstruction_te,Simultaneous Algebraic Reconstruction Technique (SART): A Superior Implementation of the A,7,CT Reconstruction Foundations,60,Algorithm & Algebraic & Practical,ct,-,cluster,ct,
ref_prior_image_constrained_compressed_sensi,Prior image constrained compressed sensing (PICCS): A method to accurately reconstruct dyn,8,Iterative & Sparse-View CT Reconstruction,67,Compressed & Sensing & Prior,ct,CT,kw:CT,ct,
ref_learn_learned_experts_assessmentbased_re,LEARN: Learned Experts’ Assessment-Based Reconstruction Network for Sparse-Data CT,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,both,
ref_patientspecific_reconstruction_of_volume,Patient-specific reconstruction of volumetric computed tomography images from a single pro,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
ref_iterative_lowdose_ct_reconstruction_with,Iterative Low-Dose CT Reconstruction With Priors Trained by Artificial Neural Network,8,Iterative & Sparse-View CT Reconstruction,70,Iterative & Lowdose & Priors,ct,CT,kw:CT,both,
ref_deepneuralnetworkbased_sinogram_synthesi,Deep-Neural-Network-Based Sinogram Synthesis for Sparse-View CT Image Reconstruction,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,ct,
ref_gpubased_fast_cone_beam_ct_reconstructio,GPU-based fast cone beam CT reconstruction from undersampled and noisy projection data via,8,Iterative & Sparse-View CT Reconstruction,64,Limited & Angle & Commercial,ct,CT,kw:CT,ct,
ref_cycleconsistent_adversarial_denoising_ne,Cycle‐consistent adversarial denoising network for multiphase coronary CT angiography,4,Clinical CT Denoising & DL Reconstruction,18,Coronary & Angiography & Learningbased,ct,CT,kw:CT,ct,
ref_metainvnet_meta_inversion_network_for_sp,MetaInv-Net: Meta Inversion Network for Sparse View CT Image Reconstruction,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,ct,
ref_tomographic_image_reconstruction_using_f,Tomographic image reconstruction using filtered back projection (FBP) and algebraic recons,7,CT Reconstruction Foundations,60,Algorithm & Algebraic & Practical,ct,CT,kw:CT,ct,
ref_downsampled_imaging_geometric_modeling_f,Downsampled Imaging Geometric Modeling for Accurate CT Reconstruction via Deep Learning,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
ref_admmsvnet_an_admmbased_sparseview_ct_rec,ADMM-SVNet: An ADMM-Based Sparse-View CT Reconstruction Network,8,Iterative & Sparse-View CT Reconstruction,69,Sparseview & Conebeam & Iterative,ct,CT,kw:CT,ct,
ref_adam_a_method_for_stochastic_optimizatio,Adam: A Method for Stochastic Optimization,5,Optimization & Compressed Sensing,20,Proximal & Signal & Splitting,ai,-,cluster,ai,HIDE
ref_compressed_sensing,Compressed sensing,5,Optimization & Compressed Sensing,8,Compressed & Sensing & Gradient,split,-,embed(0.46),ct,
ref_a_fast_iterative_shrinkagethresholding_a,A Fast Iterative Shrinkage-Thresholding Algorithm for Linear Inverse Problems,5,Optimization & Compressed Sensing,21,Total & Variation & Algorithms,split,-,embed(0.48),ct,
ref_fast_gradientbased_algorithms_for_constr,Fast Gradient-Based Algorithms for Constrained Total Variation Image Denoising and Deblurr,5,Optimization & Compressed Sensing,21,Total & Variation & Algorithms,split,-,embed(0.46),ct,
ref_alowdose_ct_via_convolutional_neural_net,aLow-dose CT via convolutional neural network,4,Clinical CT Denoising & DL Reconstruction,28,Denoising & Lowdose & Noise,both,CT,kw:CT,both,
ref_a_local_update_strategy_for_iterative_re,A local update strategy for iterative reconstruction from projections,7,CT Reconstruction Foundations,60,Algorithm & Algebraic & Practical,ct,-,cluster,ct,
ref_a_sparseview_ct_reconstruction_method_ba,A Sparse-View CT Reconstruction Method Based on Combination of DenseNet and Deconvolution,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,ct,
ref_hyperspectral_image_denoising_via_tensor,Hyperspectral Image Denoising via Tensor Low-Rank Prior and Unsupervised Deep Spatial–Spec,2,Image Super-Resolution,9,Hyperspectral & Denoising & Spatialspectral,ai,GENCV,kw:GENCV,ai,HIDE
ref_improved_total_variationbased_ct_image_r,Improved total variation-based CT image reconstruction applied to clinical data,8,Iterative & Sparse-View CT Reconstruction,66,Total & Algebraic & Variationbased,ct,CT,kw:CT,ct,
ref_fistanet_learning_a_fast_iterative_shrin,FISTA-Net: Learning a Fast Iterative Shrinkage Thresholding Network for Inverse Problems i,7,CT Reconstruction Foundations,13,Survey & Phase & Recovery,ct,-,cluster,ct,
ref_deep_learning_computed_tomography_learni,Deep Learning Computed Tomography: Learning Projection-Domain Weights From Image Domain in,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
ref_drone_dualdomain_residualbased_optimizat,DRONE: Dual-Domain Residual-based Optimization NEtwork for Sparse-View CT Reconstruction,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,ct,
ref_learning_to_reconstruct_computed_tomogra,Learning to Reconstruct Computed Tomography Images Directly From Sinogram Data Under A Var,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,ct,
ref_radon_inversion_via_deep_learning,Radon Inversion via Deep Learning,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
ref_hybriddomain_neural_network_processing_f,Hybrid-Domain Neural Network Processing for Sparse-View CT Reconstruction,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,both,
ref_deep_embeddingattentionrefinement_for_sp,Deep Embedding-Attention-Refinement for Sparse-View CT Reconstruction,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,ct,
ref_airnet_fused_analytical_and_iterative_re,AirNet: Fused analytical and iterative reconstruction with deep neural network regularizat,8,Iterative & Sparse-View CT Reconstruction,70,Iterative & Lowdose & Priors,ct,CT,kw:CT,both,
ref_sparseview_cbct_reconstruction_via_weigh,Sparse-view CBCT reconstruction via weighted Schatten p-norm minimization,8,Iterative & Sparse-View CT Reconstruction,69,Sparseview & Conebeam & Iterative,ct,CT,kw:CT,ct,
ref_dreamnet_deep_residual_error_iterative_m,DREAM-Net: Deep Residual Error Iterative Minimization Network for Sparse-View CT Reconstru,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,ct,
ref_sparseview_cone_beam_ct_reconstruction_u,Sparse-view cone beam CT reconstruction using dual CNNs in projection domain and image dom,8,Iterative & Sparse-View CT Reconstruction,71,Sparse & Sparseview & Spectral,ct,CT,kw:CT,ct,
ref_mdst_multidomain_sparseview_ct_reconstru,MDST: multi-domain sparse-view CT reconstruction based on convolution and swin transformer,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT+AIFND,kw:CT,both,
ref_lowdose_xray_computed_tomography_image_r,Low-dose X-ray computed tomography image reconstruction with a combined low-mAs and sparse,8,Iterative & Sparse-View CT Reconstruction,68,Iterative & Xray & Lowdose,ct,CT,kw:CT,ct,
ref_stabilizing_deep_tomographic_reconstruct,Stabilizing deep tomographic reconstruction: Part A. Hybrid framework and experimental res,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,ct,
ref_fused_analytical_and_iterative_reconstru,Fused analytical and iterative reconstruction (AIR) via modified proximal forward–backward,7,CT Reconstruction Foundations,60,Algorithm & Algebraic & Practical,ct,CT,kw:CT,ct,
ref_lrrced_lowresolution_reconstructionaware,LRR-CED: low-resolution reconstruction-aware convolutional encoder–decoder network for dir,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
ref_unet_convolutional_networks_for_biomedic,U-Net: Convolutional Networks for Biomedical Image Segmentation,1,Deep Learning & Generative Models,40,Segmentation & Unet & Biomedical,ai,-,cluster,ai,HIDE
ref_generative_adversarial_networks,Generative adversarial networks,1,Deep Learning & Generative Models,31,Adversarial & Diffusion & Unpaired,ai,AIFND,cluster,ai,HIDE
ref_practical_conebeam_algorithm,Practical cone-beam algorithm,7,CT Reconstruction Foundations,60,Algorithm & Algebraic & Practical,ct,CT,kw:CT,ct,
ref_characterization_and_reduction_of_artifa,Characterization and reduction of artifacts in limited angle tomography,8,Iterative & Sparse-View CT Reconstruction,64,Limited & Angle & Commercial,ct,CT,kw:CT,ct,
ref_learning_the_invisible_a_hybrid_deep_lea,Learning the invisible: a hybrid deep learning-shearlet framework for limited angle comput,7,CT Reconstruction Foundations,57,Limited & Tomographic & Artificial,ct,CT,kw:CT,both,
ref_a_deep_learning_reconstruction_framework,A deep learning reconstruction framework for X-ray computed tomography with incomplete dat,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
ref_dolce_a_modelbased_probabilistic_diffusi,DOLCE: A Model-Based Probabilistic Diffusion Framework for Limited-Angle CT Reconstruction,8,Iterative & Sparse-View CT Reconstruction,65,Limitedangle & Minimization & Accurate,ct,CT,kw:CT,both,
ref_highresolution_limitedangle_phase_tomogr,High-resolution limited-angle phase tomography of dense layered objects using deep neural ,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,ct,
ref_artifact_removal_using_a_hybriddomain_co,Artifact removal using a hybrid-domain convolutional neural network for limited-angle comp,6,Metal Artifacts & Specialized Tomography,1,Metal & Artifact & Reduction,ct,CT,kw:CT,both,
ref_deep_learning_based_sinogram_correction_,Deep Learning Based Sinogram Correction for Metal Artifact Reduction,6,Metal Artifacts & Specialized Tomography,1,Metal & Artifact & Reduction,ct,CT,kw:CT,both,
ref_learn_recurrent_dualdomain_reconstructio,LEARN++: Recurrent Dual-Domain Reconstruction Network for Compressed Sensing CT,8,Iterative & Sparse-View CT Reconstruction,63,Sparseview & Framing & Unet,ct,CT,kw:CT,ct,
ref_tomographic_reconstruction_with_a_genera,Tomographic reconstruction with a generative adversarial network,1,Deep Learning & Generative Models,11,Generative & Adversarial & Lowdose,both,CT+AIFND,kw:CT,both,
ref_tomographic_image_reconstruction_using_a,Tomographic image reconstruction using Artificial Neural Networks,7,CT Reconstruction Foundations,57,Limited & Tomographic & Artificial,ct,CT,kw:CT,ct,
ref_sinogram_inpainting_with_generative_adve,Sinogram Inpainting with Generative Adversarial Networks and Shape Priors,1,Deep Learning & Generative Models,11,Generative & Adversarial & Lowdose,both,CT+AIFND,kw:CT,both,
ref_mudnet_multidomain_deep_unrolling_networ,Mud-Net: multi-domain deep unrolling network for simultaneous sparse-view and metal artifa,6,Metal Artifacts & Specialized Tomography,1,Metal & Artifact & Reduction,ct,CT,kw:CT,ct,
ref_sinogram_image_completion_for_limited_an,Sinogram Image Completion for Limited Angle Tomography With Generative Adversarial Network,1,Deep Learning & Generative Models,11,Generative & Adversarial & Lowdose,both,CT+AIFND,kw:CT,both,
ref_a_cascadebased_dualdomain_data_correctio,A cascade-based dual-domain data correction network for sparse view CT image reconstructio,8,Iterative & Sparse-View CT Reconstruction,70,Iterative & Lowdose & Priors,ct,CT,kw:CT,ct,
ref_image_reconstruction_with_limited_angle_,Image Reconstruction with Limited Angle Projection Data,8,Iterative & Sparse-View CT Reconstruction,64,Limited & Angle & Commercial,ct,CT,kw:CT,ct,
ref_advancing_limitedangle_ct_reconstruction,Advancing Limited-Angle CT Reconstruction through Diffusion-Based Sinogram Completion,8,Iterative & Sparse-View CT Reconstruction,65,Limitedangle & Minimization & Accurate,ct,CT,kw:CT,both,
ref_superresolution_in_medical_imaging,Super-Resolution in Medical Imaging,2,Image Super-Resolution,35,Superresolution & Medical & Musculoskeletal,med,-,cluster,med,
ref_super_resolution_techniques_for_medical_,Super resolution techniques for medical image processing,2,Image Super-Resolution,35,Superresolution & Medical & Musculoskeletal,med,-,cluster,med,
ref_the_adaptive_statistical_iterative_recon,The adaptive statistical iterative reconstruction-V technique for radiation dose reduction,8,Iterative & Sparse-View CT Reconstruction,24,Iterative & Abdominal & Adaptive,ct,CT,kw:CT,ct,
ref_improvement_of_spatial_resolution_on_cor,Improvement of Spatial Resolution on Coronary CT Angiography by Using Super-Resolution Dee,4,Clinical CT Denoising & DL Reconstruction,16,Superresolution & Coronary & Angiography,ct,CT,kw:CT,both,
ref_superresolution_deep_learning_reconstruc,Super-Resolution Deep Learning Reconstruction for Improved Image Quality of Coronary CT An,4,Clinical CT Denoising & DL Reconstruction,16,Superresolution & Coronary & Angiography,ct,CT,kw:CT,both,
ref_coronary_stent_evaluation_by_cta_image_q,Coronary Stent Evaluation by CTA: Image Quality Comparison Between Super-Resolution Deep L,4,Clinical CT Denoising & DL Reconstruction,16,Superresolution & Coronary & Angiography,ct,-,cluster,both,
ref_impact_of_a_deep_learningbased_superreso,Impact of a Deep Learning-based Super-resolution Image Reconstruction Technique on High-co,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,both,
ref_deeplearning_reconstruction_to_improve_i,Deep-learning reconstruction to improve image quality of myocardial dynamic CT perfusion: ,4,Clinical CT Denoising & DL Reconstruction,18,Coronary & Angiography & Learningbased,ct,CT,kw:CT,ct,
ref_superresolution_deeplearning_reconstruct,Super-resolution deep-learning reconstruction for cardiac CT: impact of radiation dose and,4,Clinical CT Denoising & DL Reconstruction,16,Superresolution & Coronary & Angiography,ct,CT,kw:CT,ct,
ref_ultralowdose_coronary_ct_angiography_via,Ultra-low-dose coronary CT angiography via super-resolution deep learning reconstruction: ,4,Clinical CT Denoising & DL Reconstruction,16,Superresolution & Coronary & Angiography,ct,CT,kw:CT,both,
ref_limitedangle_computed_tomography_with_de,Limited-angle computed tomography with deep image and physics priors,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,ct,
ref_report_on_the_aapm_deeplearning_sparsevi,Report on the AAPM deep‐learning sparse‐view CT grand challenge,8,Iterative & Sparse-View CT Reconstruction,70,Iterative & Lowdose & Priors,ct,CT,kw:CT,ct,
ref_clinical_acceptance_of_deep_learning_rec,Clinical acceptance of deep learning reconstruction for abdominal CT imaging: objective an,4,Clinical CT Denoising & DL Reconstruction,30,Abdominal & Comparison & Iterative,ct,CT,kw:CT,both,
ref_accurate_superresolution_reconstruction_,Accurate super-resolution reconstruction for CT and MR images,2,Image Super-Resolution,38,Superresolution & Simultaneous & Brain,med,CT,kw:CT,ct,
ref_limitedangle_ct_reconstruction_via_datad,Limited-angle CT reconstruction via data-driven deep neural network,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
ref_deep_learning,Deep learning,1,Deep Learning & Generative Models,36,Concepts & Architectures & Challenges,ai,-,cluster,ai,HIDE
ref_image_quality_assessment_from_error_visi,Image quality assessment: from error visibility to structural similarity,9,Image Quality Assessment,0,Assessment & Similarity & Structural,ai,-,cluster,ai,HIDE
ref_swin_transformer_hierarchical_vision_tra,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,AIFND,cluster,ai,HIDE
ref_esrgan_enhanced_superresolution_generati,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,2,Image Super-Resolution,49,Superresolution & Generative & Adversarial,ai,AIFND,cluster,ai,HIDE
ref_deep_learning_for_image_superresolution_,Deep Learning for Image Super-Resolution: A Survey,2,Image Super-Resolution,41,Superresolution & Remote & Sensing,ai,-,cluster,ai,HIDE
ref_ct_superresolution_gan_constrained_by_th,"CT Super-Resolution GAN Constrained by the Identical, Residual, and Cycle Learning Ensembl",2,Image Super-Resolution,49,Superresolution & Generative & Adversarial,ai,CT+AIFND,kw:CT,both,
ref_structural_similarity_index_family_for_i,Structural similarity index family for image quality assessment in radiological images,9,Image Quality Assessment,0,Assessment & Similarity & Structural,ai,-,cluster,ai,HIDE
ref_deep_learningbased_superresolution_appli,Deep Learning-Based Super-Resolution Applied to Dental Computed Tomography,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,both,
ref_survey_of_single_image_superresolution_r,Survey of single image super‐resolution reconstruction,2,Image Super-Resolution,41,Superresolution & Remote & Sensing,ai,-,cluster,ai,HIDE
ref_superresolution_ct_image_reconstruction_,Super-resolution CT Image Reconstruction Based on Dictionary Learning and Sparse Represent,8,Iterative & Sparse-View CT Reconstruction,71,Sparse & Sparseview & Spectral,ct,CT,kw:CT,ct,
ref_using_superresolution_generative_adversa,Using super-resolution generative adversarial network models and transfer learning to obta,2,Image Super-Resolution,49,Superresolution & Generative & Adversarial,ai,CT+AIFND,kw:CT,both,
ref_very_deep_superresolution_for_efficient_,Very deep super-resolution for efficient cone-beam computed tomographic image restoration,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,ct,
ref_removing_ring_artifacts_in_cbct_images_v,Removing ring artifacts in CBCT images via generative adversarial networks with unidirecti,1,Deep Learning & Generative Models,12,Adversarial & Medical & Generative,both,CT+AIFND,kw:CT,both,
ref_image_quality_improvement_in_conebeam_ct,Image quality improvement in cone-beam CT using the super-resolution technique,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,ct,
ref_srcyclegan_superresolution_of_clinical_c,SR-CycleGAN: super-resolution of clinical CT to micro-CT level with multi-modality super-r,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,ct,
ref_photorealistic_single_image_superresolut,Photo-Realistic Single Image Super-Resolution Using a Generative Adversarial Network,2,Image Super-Resolution,49,Superresolution & Generative & Adversarial,ai,AIFND,cluster,ai,HIDE
ref_image_superresolution_using_deep_convolu,Image Super-Resolution Using Deep Convolutional Networks,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,-,cluster,ai,HIDE
ref_accurate_image_superresolution_using_ver,Accurate Image Super-Resolution Using Very Deep Convolutional Networks,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,-,cluster,ai,HIDE
ref_3d_unet_learning_dense_volumetric_segmen,3D U-Net: Learning Dense Volumetric Segmentation from Sparse Annotation,1,Deep Learning & Generative Models,40,Segmentation & Unet & Biomedical,ai,-,cluster,ai,HIDE
ref_review_of_deep_learning_concepts_cnn_arc,"Review of deep learning: concepts, CNN architectures, challenges, applications, future dir",1,Deep Learning & Generative Models,36,Concepts & Architectures & Challenges,ai,-,cluster,ai,HIDE
ref_image_superresolution_using_very_deep_re,Image Super-Resolution Using Very Deep Residual Channel Attention Networks,2,Image Super-Resolution,44,Superresolution & Attention & Single,ai,-,cluster,ai,HIDE
ref_activating_more_pixels_in_image_superres,Activating More Pixels in Image Super-Resolution Transformer,2,Image Super-Resolution,43,Transformer & Superresolution & Swin,ai,AIFND,cluster,ai,HIDE
ref_superresolution_of_dental_panoramic_radi,Super-Resolution of Dental Panoramic Radiographs Using Deep Learning: A Pilot Study,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,both,
ref_an_improved_statistical_iterative_algori,An improved statistical iterative algorithm for sparse-view and limited-angle CT image rec,8,Iterative & Sparse-View CT Reconstruction,67,Compressed & Sensing & Prior,ct,CT,kw:CT,ct,
ref_a_3d_convolutional_neural_network_for_vo,A 3D Convolutional Neural Network for Volumetric Image Semantic Segmentation,1,Deep Learning & Generative Models,40,Segmentation & Unet & Biomedical,ai,-,cluster,ai,HIDE
ref_interslice_resolution_improvement_using_,Inter-Slice Resolution Improvement Using Convolutional Neural Network with Orbital Bone Ed,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,both,
ref_deep_learning_based_superresolution_for_,Deep learning based super‐resolution for CBCT dose reduction in radiotherapy,4,Clinical CT Denoising & DL Reconstruction,51,Reduction & Algorithm & Phantom,ct,CT,kw:CT,both,
ref_superresolution_and_sparse_view_ct_recon,Super-Resolution and Sparse View CT Reconstruction,8,Iterative & Sparse-View CT Reconstruction,71,Sparse & Sparseview & Spectral,ct,CT,kw:CT,ct,
ref_threedimensional_conditional_generative_,Three-dimensional conditional generative adversarial network-based virtual thin-slice tech,1,Deep Learning & Generative Models,40,Segmentation & Unet & Biomedical,ai,AIFND,cluster,ai,HIDE
ref_learning_a_deep_convolutional_network_fo,Learning a Deep Convolutional Network for Image Super-Resolution,2,Image Super-Resolution,26,Superresolution & Sparse & Representation,ai,-,cluster,ai,HIDE
ref_fsim_a_feature_similarity_index_for_imag,FSIM: A Feature Similarity Index for Image Quality Assessment,9,Image Quality Assessment,0,Assessment & Similarity & Structural,ai,-,cluster,ai,HIDE
ref_image_quality_metrics_psnr_vs_ssim,Image Quality Metrics: PSNR vs. SSIM,9,Image Quality Assessment,0,Assessment & Similarity & Structural,ai,-,cluster,ai,HIDE
ref_automatic_detection_of_cerebral_microble,Automatic Detection of Cerebral Microbleeds From MR Images via 3D Convolutional Neural Net,1,Deep Learning & Generative Models,40,Segmentation & Unet & Biomedical,ai,-,cluster,ai,HIDE
